district,week,year,cases
Ratnapura,35,2020,31
Trincomalee,35,2020,1
Vavuniya,35,2020,0
Ampara,36,2020,1
Anuradhapura,36,2020,1
Badulla,36,2020,3
Batticaloa,36,2020,12
Colombo,36,2020,71
Galle,36,2020,15
Gampaha,36,2020,60
Hambantota,36,2020,5
Jaffna,36,2020,9
Kalmunai,36,2020,0
Kalutara,36,2020,0
Kandy,36,2020,79
Kegalle,36,2020,19
Kilinochchi,36,2020,0
Kurunegala,36,2020,6
Mannar,36,2020,0
Matale,36,2020,1
Matara,36,2020,9
Monaragala,36,2020,0
Mullaitivu,36,2020,1
Nuwara Eliya,36,2020,2
Polonnaruwa,36,2020,0
Puttalam,36,2020,0
Ratnapura,36,2020,31
Trincomalee,36,2020,3
Vavuniya,36,2020,0
Ampara,37,2020,0
Anuradhapura,37,2020,1
Badulla,37,2020,3
Batticaloa,37,2020,8
Colombo,37,2020,64
Galle,37,2020,6
Gampaha,37,2020,41
Hambantota,37,2020,3
Jaffna,37,2020,8
Kalmunai,37,2020,0
Kalutara,37,2020,0
Kandy,37,2020,83
Kegalle,37,2020,15
Kilinochchi,37,2020,0
Kurunegala,37,2020,8
Mannar,37,2020,1
Matale,37,2020,5
Matara,37,2020,4
Monaragala,37,2020,0
Mullaitivu,37,2020,0
Nuwara Eliya,37,2020,0
Polonnaruwa,37,2020,1
Puttalam,37,2020,0
Ratnapura,37,2020,37
Trincomalee,37,2020,0
Vavuniya,37,2020,0
Ampara,38,2020,1
Anuradhapura,38,2020,4
Badulla,38,2020,2
Batticaloa,38,2020,12
Colombo,38,2020,66
Galle,38,2020,8
Gampaha,38,2020,52
Hambantota,38,2020,1
Jaffna,38,2020,10
Kalmunai,38,2020,0
Kalutara,38,2020,0
Kandy,38,2020,59
Kegalle,38,2020,10
Kilinochchi,38,2020,0
Kurunegala,38,2020,11
Mannar,38,2020,1
Matale,38,2020,4
Matara,38,2020,7
Monaragala,38,2020,0
Mullaitivu,38,2020,0
Nuwara Eliya,38,2020,2
Polonnaruwa,38,2020,1
Puttalam,38,2020,0
Ratnapura,38,2020,36
Trincomalee,38,2020,0
Vavuniya,38,2020,0
Ampara,39,2020,0
Anuradhapura,39,2020,4
Badulla,39,2020,5
Batticaloa,39,2020,11
Colombo,39,2020,51
Galle,39,2020,6
Gampaha,39,2020,45
Hambantota,39,2020,1
Jaffna,39,2020,10
Kalmunai,39,2020,0
Kalutara,39,2020,0
Kandy,39,2020,59
Kegalle,39,2020,5
Kilinochchi,39,2020,0
Kurunegala,39,2020,4
Mannar,39,2020,0
Matale,39,2020,6
Matara,39,2020,4
Monaragala,39,2020,0
Mullaitivu,39,2020,0
Nuwara Eliya,39,2020,2
Polonnaruwa,39,2020,2
Puttalam,39,2020,0
Ratnapura,39,2020,25
Trincomalee,39,2020,3
Vavuniya,39,2020,2
Ampara,40,2020,1
Anuradhapura,40,2020,5
Badulla,40,2020,2
Batticaloa,40,2020,23
Colombo,40,2020,49
Galle,40,2020,6
Gampaha,40,2020,27
Hambantota,40,2020,3
Jaffna,40,2020,11
Kalmunai,40,2020,0
Kalutara,40,2020,0
Kandy,40,2020,62
Kegalle,40,2020,8
Kilinochchi,40,2020,1
Kurunegala,40,2020,11
Mannar,40,2020,0
Matale,40,2020,5
Matara,40,2020,5
Monaragala,40,2020,0
Mullaitivu,40,2020,0
Nuwara Eliya,40,2020,0
Polonnaruwa,40,2020,0
Puttalam,40,2020,0
Ratnapura,40,2020,20
Trincomalee,40,2020,2
Vavuniya,40,2020,0
Ampara,41,2020,1
Anuradhapura,41,2020,2
Badulla,41,2020,11
Batticaloa,41,2020,39
Colombo,41,2020,52
Galle,41,2020,7
Gampaha,41,2020,19
Hambantota,41,2020,1
